読み	方言	標準語	標準語の読み	地域
めんこい	めんこい	【かわいい】	かわいい	宮城県
めんこめんこする	めんこめんこする	【頭をなでる】	あたまをなでる	宮城県
やくてもない	やくてもない	【役に立たない、つまらない】	やくにたたない、つまらない	宮城県
やげ	やげ	【火傷】	やけど	宮城県
やっこい	やっこい	【やわらかい】	やわらかい	宮城県
やんだ	やんだ	【いやです】	いやです	宮城県
ゆぷて、ゆぷてぁ	ゆぷて、ゆぷてぁ	【煙たい】	けむたい	宮城県
んだ	んだ	【そうだ】	そうだ	宮城県
んだっす	んだっす	【そうです】	そうです	宮城県
んだべが	んだべが	【そうかしら】	そうかしら	宮城県
あがってけろ	あがってけろ	【どうぞお上がりください】	どうぞおあがりください	秋田県
あしかまり	あしかまり	【足のにおい】	あしのにおい	秋田県
あべたふり	あべたふり	【知ったかぶり】	しったかぶり	秋田県
あめかまり	あめかまり	【腐った臭い】	くさったにおい	秋田県
いじくされ、いじくさり	いじくされ、いじくさり	【いじわるな人、強情を張る人】	いじわるなひと、ごうじょうをはるひと	秋田県
うしろどんこ	うしろどんこ	【後頭部、うなじ】	こうとうぶ、うなじ	秋田県
うそこぎ	うそこぎ	【嘘つき】	うそつき	秋田県
うたてー、うたちー、おたてー	うたてー、うたちー、おたてー	【気持ちが悪い、気味が悪い】	きもちがわるい、きみがわるい	秋田県
えーふりこくー	えーふりこくー	【気取る】	きどる	秋田県
おが	おが	【たくさん】	たくさん	秋田県
おしょし	おしょし	【恥ずかしい】	はずかしい	秋田県
おったつ	おったつ	【くたびれる、疲れた】	くたびれる、つかれた	秋田県
おめでどがんす	おめでどがんす	【おめでとう】	おめでとう	秋田県
おら	おら	【おれ】	おれ	秋田県
がおる	がおる	【困る】	こまる	秋田県
かちゃぺ	かちゃぺ	【品がない、下品】	ひんがない、げひん	秋田県
かっちゃ	かっちゃ	【お母さん】	おかあさん	秋田県
かまり	かまり	【におい、香り】	におい、かおり	秋田県
く	く	【食べる】	たべる	秋田県
くされたまぐら	くされたまぐら	【役に立たないもの（人）】	やくにたたないもの（ひと）	秋田県
け	け	【来い、かゆい、食べなさい】	こい、かゆい、たべなさい	秋田県
けっち、けちたっぽ	けっち、けちたっぽ	【おしり】	おしり	秋田県
けっぱる	けっぱる	【がんばる】	がんばる	秋田県
こうぇ	こうぇ	【疲れた】	つかれた	秋田県
こちょます	こちょます	【くすぐる】	くすぐる	秋田県
このげ	このげ	【眉毛】	まゆげ	秋田県
こぼほり	こぼほり	【しつこい、根深い】	しつこい、ねぶかい	秋田県
ごめしてけれ	ごめしてけれ	【許してください】	ゆるしてください	秋田県
しぎでね	しぎでね	【好きじゃない】	すきじゃない	秋田県
じぐなし、ずくなし	じぐなし、ずくなし	【勇気がない、小心者、意気地なし】	ゆうきがない、しょうしんもの、いくじなし	秋田県
じほこき	じほこき	【うそつき】	うそつき	秋田県
しゃっこい	しゃっこい	【冷たい】	つめたい	秋田県
しょーし	しょーし	【恥ずかしい】	はずかしい	秋田県
すばらしい	すばらしい	【うるさい】	うるさい	秋田県
ずろすけ	ずろすけ	【ずるい人】	ずるいひと	秋田県
ちょす、ちょうす	ちょす、ちょうす	【さわる】	さわる	秋田県
てぼげ、てぼこ、てぼっきゃ	てぼげ、てぼこ、てぼっきゃ	【不器用な人】	ぶきようなひと	秋田県
とじゃね	とじゃね	【さびしい】	さびしい	秋田県
とっちゃ	とっちゃ	【お父さん】	おとうさん	秋田県
どぶで	どぶで	【ずるい】	ずるい	秋田県
どやぐ	どやぐ	【仲間、友達】	なかま、ともだち	秋田県
どやへば、どやせば、どせば、どへば	どやへば、どやせば、どせば、どへば	【どうすれば】	どうすれば	秋田県
なじき	なじき	【おでこ】	おでこ	秋田県
なして	なして	【なぜ？】	なぜ	秋田県
のさばる	のさばる	【甘える】	あまえる	秋田県
ばがけ	ばがけ	【バカ】	ばか	秋田県
ばっち、ばっつ	ばっち、ばっつ	【末っ子】	すえっこ	秋田県
びしん	びしん	【美人】	びじん	秋田県
ぶしょたがり	ぶしょたがり	【だらしない、不潔】	だらしない、ふけつ	秋田県
ふとめわり	ふとめわり	【恥ずかしい】	はずかしい	秋田県
へんへ	へんへ	【せんせい】	せんせい	秋田県
ほいど、ほいと	ほいど、ほいと	【欲張り、ケチ】	よくばり、けち	秋田県
まなぐ、まなご	まなぐ、まなご	【目】	め	秋田県
みったくなし	みったくなし	【かわいくない、ブス】	かわいくない、ぶす	秋田県
めんけ	めんけ	【かわいい】	かわいい	秋田県
やちもない	やちもない	【しようがない、つまらない】	しようがない、つまらない	秋田県
よろた、よろたっぽ	よろた、よろたっぽ	【ふともも】	ふともも	秋田県
あずましー	あずましー	【ゆったりと落ち着いた】	ゆったりとおちついた	北海道
あめる	あめる	【食べ物がいたむ・すえる】	たべものがいたむ・すえる	北海道
あやつける	あやつける	【かっこうをつける】	かっこうをつける	北海道
いずい	いずい	【目のごみがごろごろする】	めのごみがごろごろする	北海道
いたましー	いたましー	【惜しい・もったいない】	おしい・もったいない	北海道
うだで	うだで	【たいそう】	たいそう	北海道
うみあけ	うみあけ	【春になり流氷が去る】	はるになりりゅうひょうがさる	北海道
おる	おる	【大きくなる・成長する】	おおきくなる・せいちょうする	北海道
おる	おる	【生える】	はえる	北海道
おもやみ	おもやみ	【心配・気がかり】	しんぱい・きがかり	北海道
おもやみ	おもやみ	【おっくう】	おっくう	北海道
かいべつ	かいべつ	【キャベツ】	きゃべつ	北海道
かっちゃく	かっちゃく	【引っかく】	ひっかく	北海道
かてる	かてる	【仲間に入れる】	なかまにいれる	北海道
きかない	きかない	【気が強い・乱暴だ】	きがつよい・らんぼうだ	北海道
けあらし	けあらし	【水蒸気の大量発生】	すいじょうきのたいりょうはっせい	北海道
こわい	こわい	【疲れてきつい】	つかれてきつい	北海道
さきり	さきり	【組み合わせた丸太】	くみあわせたまるた	北海道
したっけ	したっけ	【そうしたら】	そうしたら	北海道
したっけね	したっけね	【それではまたね・バイバイ】	それではまたね・ばいばい	北海道
しばれる	しばれる	【ひどく寒い・凍りつく】	ひどくさむい・こおりつく	北海道
すもり	すもり	【屋根の積雪による水漏れ】	やねのせきせつによるみずもれ	北海道
すたんばい	すたんばい	【準備・用意】	じゅんび・ようい	北海道
たいした	たいした	【たいそう・とても】	たいそう・とても	北海道
たく	たく	【持つ・持ち上げる】	もつ・もちあげる	北海道
ちゃらんけ	ちゃらんけ	【文句・言いがかり】	もんく・いいがかり	北海道
ちょす	ちょす	【触る・からかう】	さわる・からかう	北海道
つっぺ	つっぺ	【栓・びんの栓など】	せん・びんのせんなど	北海道
てんこもり	てんこもり	【ごはんの山盛り】	ごはんのやまもり	北海道
とちゅーはんぱ	とちゅーはんぱ	【中途半端】	ちゅうとはんぱ	北海道
とーきび	とーきび	【とうもろこし】	とうもろこし	北海道
なる	なる	【捨てる】	すてる	北海道
なまら	なまら	【たいそう・非常に】	たいそう・ひじょうに	北海道
なんも	なんも	【いやいや・ちっとも】	いやいや・ちっとも	北海道
はく	はく	【（手袋などを）はめる】	（てぶくろなどを）はめる	北海道
はっちゃき	はっちゃき	【一心になること・熱中】	いっしんになること・ねっちゅう	北海道
はんかくさい	はんかくさい	【ばかげた・あほらしい】	ばかげた・あほらしい	北海道
ひら	ひら	【急斜面】	きゅうしゃめん	北海道
へら	へら	【ごはんをつぐしゃもじ】	ごはんをつぐしゃもじ	北海道
ほっちゃれ	ほっちゃれ	【疲れて元気のない人】	つかれてげんきのないひと	北海道
まかたする	まかたする	【採算がとれる】	さいさんがとれる	北海道
まかなう	まかなう	【身支度する】	みじたくする	北海道
まてに	まてに	【ていねいに】	ていねいに	北海道
むりくり	むりくり	【無理やり】	むりやり	北海道
めんこい	めんこい	【かわいい・かわいらしい】	かわいい・かわいらしい	北海道
ゆるくない	ゆるくない	【容易でない・楽でない】	よういでない・らくでない	北海道
りらびえ	りらびえ	【リラが咲くころの寒さ】	りらがさくころのさむさ	北海道
わや	わや	【むちゃくちゃ】	むちゃくちゃ	北海道
がまわれ	がまわれ	【寒さで木が凍り割れる】	さむさできがこおりわれる	北海道
がんび	がんび	【白樺の木やその皮】	しらかばのきやそのかわ	北海道
げれっぱ	げれっぱ	【最下位・びりっけつ】	さいかい・びりっけつ	北海道
ごしょいも	ごしょいも	【馬鈴薯】	ばれいしょ	北海道
ごっぺかえす	ごっぺかえす	【大失敗する】	だいしっぱいする	北海道
ざん	ざん	【鶏肉の唐揚げ】	けいにくのからあげ	北海道
じぶき	じぶき	【地吹雪】	じふぶき	北海道
でめんさん	でめんさん	【日雇い】	ひやとい	北海道
どちらいか	どちらいか	【どういたしまして】	どういたしまして	北海道
ばったする	ばったする	【倒れる・倒産する】	たおれる・とうさんする	北海道
ばんいち	ばんいち	【開拓の際、国有地の一部に地番をつけなかった地域】	かいたくのさい、こくゆうちのいちぶにちばんをつけなかったちいき	北海道
あいづ	あいづ	【あれ】	あれ	山形県
あどつぁま	あどつぁま	【仏様】	ほとけさま	山形県
あんつぁ	あんつぁ	【兄貴・男の子】	あにき・おとこのこ	山形県
えさばや	えさばや	【魚屋】	さかなや	山形県
おがだっつぁま	おがだっつぁま	【雷】	かみなり	山形県
おさい	おさい	【お惣菜・おかず】	おそうざい・おかず	山形県
おづげ	おづげ	【味噌汁】	みそしる	山形県
おらほ	おらほ	【私の方】	わたしのほう	山形県
かが	かが	【母・妻】	はは・つま	山形県
がったあんにゃ	がったあんにゃ	【知ったかぶりをする人】	しったかぶりをするひと	山形県
きびちょ	きびちょ	【急須】	きゅうす	山形県
こえづ	こえづ	【これ】	これ	山形県
けーづ	けーづ	【これ】	これ	山形県
こえん	こえん	【これ】	これ	山形県
かえん	かえん	【これ】	これ	山形県
けん	けん	【これ】	これ	山形県
ごっつぉ	ごっつぉ	【ごちそう】	ごちそう	山形県
こわぱすえ	こわぱすえ	【硬いごはん】	かたいごはん	山形県
ざい	ざい	【田舎】	いなか	山形県
ざいご	ざいご	【田舎】	いなか	山形県
さえづづ	さえづづ	【トンカチ】	とんかち	山形県
ざらぶ	ざらぶ	【葬式】	そうしき	山形県
ざらぼ	ざらぼ	【葬式】	そうしき	山形県
じぇじぇこ	じぇじぇこ	【お金】	おかね	山形県
じぇねこ	じぇねこ	【お金】	おかね	山形県
じぇね	じぇね	【お金】	おかね	山形県
しぇんつ	しぇんつ	【便所】	べんじょ	山形県
したづ	したづ	【お汁】	おしる	山形県
しゃず	しゃず	【スプーン】	すぷーん	山形県
しゃずこ	しゃずこ	【スプーン】	すぷーん	山形県
しょねみ	しょねみ	【ひがみ】	ひがみ	山形県
すんけたがり	すんけたがり	【神経質な人】	しんけいしつなひと	山形県
そいづ	そいづ	【それ】	それ	山形県
ほいづ	ほいづ	【それ】	それ	山形県
たまな	たまな	【キャベツ】	きゃべつ	山形県
づほこぎ	づほこぎ	【うそつき】	うそつき	山形県
づんつぁ	づんつぁ	【じいちゃん】	じいちゃん	山形県
づさま	づさま	【じいちゃん】	じいちゃん	山形県
てしょざら	てしょざら	【小皿】	こざら	山形県
てぼっこ	てぼっこ	【不器用】	ぶきよう	山形県
どいづ	どいづ	【どれ】	どれ	山形県
にさ	にさ	【君・おまえ】	きみ・おまえ	山形県
ばっち	ばっち	【一番下・末っ子】	いちばんした・すえっこ	山形県
ばっつ	ばっつ	【一番下・末っ子】	いちばんした・すえっこ	山形県
はんだい	はんだい	【テーブル】	てーぶる	山形県
ばんつぁ	ばんつぁ	【ばあちゃん】	ばあちゃん	山形県
ばさま	ばさま	【ばあちゃん】	ばあちゃん	山形県
ふたぶ	ふたぶ	【ほっぺ】	ほっぺ	山形県
べご	べご	【牛】	うし	山形県
へなこ	へなこ	【女の子】	おんなのこ	山形県
へなべら	へなべら	【女の子たち】	おんなのこたち	山形県
ほいじょ	ほいじょ	【包丁】	ほうちょう	山形県
まま	まま	【ご飯】	ごはん	山形県
ままづまえ	ままづまえ	【食事の支度】	しょくじのしたく	山形県
むがさり	むがさり	【結婚】	けっこん	山形県
めがだ	めがだ	【重さ】	おもさ	山形県
もぐだ	もぐだ	【ごみ】	ごみ	山形県
やろこ	やろこ	【男の子】	おとこのこ	山形県
やろべら	やろべら	【男の子たち】	おとこのこたち	山形県
よぴかり	よぴかり	【夜更かし】	よふかし	山形県
よだが	よだが	【夜更かし】	よふかし	山形県
んぼこ	んぼこ	【子ども】	こども	山形県
わらす	わらす	【子ども】	こども	山形県
あがすけ	あがすけ	【生意気】	なまいき	山形県
あざぐ	あざぐ	【人のものを勝手にいじってさがす】	ひとのものをかってにいじってさがす	山形県
うがえ	うがえ	【多い】	おおい	山形県
うぶ	うぶ	【子どもをおんぶする】	こどもをおんぶする	山形県
うぶさる	うぶさる	【子どもがおんぶする】	こどもがおんぶする	山形県
うるがす	うるがす	【水に浸す】	みずにつける	山形県
おかづぐ	おかづぐ	【追いつく】	おいつく	山形県
おがる	おがる	【大きくなる・成長する】	おおきくなる・せいちょうする	山形県
おだる	おだる	【折る】	おる	山形県
おっぽろげる	おっぽろげる	【ボケる】	ぼける	山形県
おどげでなえ	おどげでなえ	【容易でない・笑ってすまされない】	よういでない・わらってすまされない	山形県
がおる	がおる	【具合が悪くなる】	ぐあいがわるくなる	山形県
かしぇぐ	かしぇぐ	【働く】	はたらく	山形県
かじょす	かじょす	【計算する】	けいさんする	山形県
かすますい	かすますい	【さわがしい】	さわがしい	山形県
しゃがますい	しゃがますい	【やかましい】	やかましい	山形県
かっちゃ	かっちゃ	【服が逆さま】	ふくがさかさま	山形県
かっちゃえ	かっちゃえ	【服が逆さま】	ふくがさかさま	山形県
かます	かます	【かきまわす】	かきまわす	山形県
ぎっぎど	ぎっぎど	【おもいっきり】	おもいっきり	山形県
いぎすま	いぎすま	【おもいっきり】	おもいっきり	山形県
ぎっつい	ぎっつい	【きつい・窮屈】	きつい・きゅうくつ	山形県
ぐずらもずら	ぐずらもずら	【のろのろ】	のろのろ	山形県
くらすける	くらすける	【なぐる】	なぐる	山形県
はだぐ	はだぐ	【なぐる】	なぐる	山形県
け	け	【食べろ】	たべろ	山形県
く	く	【食べる】	たべる	山形県
ごしゃぐ	ごしゃぐ	【怒る】	おこる	山形県
こちょびだい	こちょびだい	【くすぐったい】	くすぐったい	山形県
こわい	こわい	【疲れる】	つかれる	山形県
さすけねぇ	さすけねぇ	【差し支えない】	さしつかえない	山形県
さんかげる	さんかげる	【戸締りをする・鍵をかける】	とじまりをする・かぎをかける	山形県
しぇめる	しぇめる	【つかまえる】	つかまえる	山形県
しなこえ	しなこえ	【しなしなとして弾力性が強く、噛み切れない様】	しなしなとしてだんりょくせいがつよく、かみきれないよう	山形県
すなこえ	すなこえ	【しなしなとして弾力性が強く、噛み切れない様】	しなしなとしてだんりょくせいがつよく、かみきれないよう	山形県
しゃます	しゃます	【もてあます】	もてあます	山形県
じょさね	じょさね	【簡単】	かんたん	山形県
じょんだ	じょんだ	【上手だ】	じょうずだ	山形県
すこだま	すこだま	【すごいたくさん】	すごいたくさん	山形県
すっかえる	すっかえる	【交換する】	こうかんする	山形県
するい	するい	【できる】	できる	山形県
やるい	やるい	【やれる】	やれる	山形県
そじる	そじる	【いたむ】	いたむ	山形県
たがぐ	たがぐ	【持つ】	もつ	山形県
たごつぐ	たごつぐ	【しがみつく】	しがみつく	山形県
たづぐ	たづぐ	【つかまる】	つかまる	山形県
ちょす	ちょす	【さわる】	さわる	山形県
つかす	つかす	【かっこつける】	かっこつける	山形県
てしょづらしい	てしょづらしい	【手出ししてうるさい】	てだししてうるさい	山形県
でっちり	でっちり	【たくさん】	たくさん	山形県
どっぺんがえし	どっぺんがえし	【繰り返し】	くりかえし	山形県
どやんばい	どやんばい	【どのように】	どのように	山形県
どいなぐ	どいなぐ	【どのように】	どのように	山形県
なげる	なげる	【捨てる】	すてる	山形県
なした	なした	【産んだ】	うんだ	山形県
なす	なす	【産む】	うむ	山形県
なす	なす	【かえす・弁償する】	かえす・べんしょうする	山形県
はがえぐ	はがえぐ	【はかどる】	はかどる	山形県
ばよつらい	ばよつらい	【奪い合い】	うばいあい	山形県
はらだくさい	はらだくさい	【まともでない・変だ】	まともでない・へんだ	山形県
ひまだれ	ひまだれ	【暇をもてあます】	ひまをもてあます	山形県
ぶじょほう	ぶじょほう	【失礼】	しつれい	山形県
ふちゃばぐ	ふちゃばぐ	【破る】	やぶる	山形県
へっぺがす	へっぺがす	【はがす】	はがす	山形県
へれる	へれる	【入れる】	いれる	山形県
ほきる	ほきる	【萌える】	もえる	山形県
ほだえ	ほだえ	【そんなに】	そんなに	山形県
ほろぐ	ほろぐ	【揺り動かし落とす】	ゆりうごかしおとす	山形県
ほろげる	ほろげる	【揺れ落ちる】	ゆれおちる	山形県
まるぐ	まるぐ	【たばねる】	たばねる	山形県
むぐす	むぐす	【もらす】	もらす	山形県
むつける	むつける	【むっとする】	むっとする	山形県
ふぐれる	ふぐれる	【むっとする】	むっとする	山形県
むつこい	むつこい	【かわいそう】	かわいそう	山形県
むづる	むづる	【曲がる】	まがる	山形県
もぐ	もぐ	【はずす・とる】	はずす・とる	山形県
もげる	もげる	【はずれる・とれる】	はずれる・とれる	山形県
もっかえる	もっかえる	【倒れる】	たおれる	山形県
もまえする	もまえする	【パニックになる】	ぱにっくになる	山形県
やぐど	やぐど	【わざと】	わざと	山形県
やぢゃがね	やぢゃがね	【だめだ・役に立たない】	だめだ・やくにたたない	山形県
やちゃくちゃね	やちゃくちゃね	【だらしがない】	だらしがない	山形県
やんばえ	やんばえ	【いいあんばい】	いいあんばい	山形県
わにる	わにる	【赤ん坊が人見知りする】	あかんぼうがひとみりする	山形県
わにね	わにね	【人見知りしない】	ひとみしりしない	山形県
わらわら	わらわら	【急いで】	いそいで	山形県
んまぐね	んまぐね	【よろしくない】	よろしくない	山形県
んますこす	んますこす	【もうちょっと】	もうちょっと	山形県
あがってけらっしゃい	あがってけらっしゃい	【家にどうぞおあがりください】	いえにどうぞおあがりください	山形県
あがってけらっしゃい	あがってけらっしゃい	【食事を召し上がってください】	しょくじをめしあがってください	山形県
あべ	あべ	【行こう】	いこう	山形県
いぐべ	いぐべ	【行こうか】	いこうか	山形県
かってがっしゃい	かってがっしゃい	【買っていってくださいよ】	かっていってくださいよ	山形県
かねの？	かねの？	【食べないの？】	たべないの？	山形県
くわんねの？	くわんねの？	【食べられないの？】	たべられないの？	山形県
けんなんぼやっす？	けんなんぼやっす？	【これいくらですか？】	これいくらですか？	山形県
さすかえなえ	さすかえなえ	【大丈夫・気にしてない】	だいじょうぶ・きにしてない	山形県
しゃね	しゃね	【知らない】	しらない	山形県
ちゃっちゃどすろ	ちゃっちゃどすろ	【早くしなさい】	はやくしなさい	山形県
ちょどしてろ	ちょどしてろ	【おとなしくしなさい】	おとなしくしなさい	山形県
どさいぐなやっす？	どさいぐなやっす？	【どこに行くのですか？】	どこにいくのですか？	山形県
なして？	なして？	【なぜ？】	なぜ？	山形県
なしてんだなや？	なしてんだなや？	【なぜそうなの？】	なぜそうなの？	山形県
なれ	なれ	【なっ？・だろ？】	なっ？・だろ？	山形県
腹くっつい	腹くっつい	【お腹いっぱい】	おなかいっぱい	山形県
ばんげのななじ	ばんげのななじ	【夜の7時】	よるのしちじ	山形県
ほだな…	ほだな…	【そんな…】	そんな…	山形県
ほんて？	ほんて？	【ほんとう？】	ほんとう？	山形県
よぐござったなっす	よぐござったなっす	【よくいらっしゃいましたね】	よくいらっしゃいましたね	山形県
んだ	んだ	【そう】	そう	山形県
んだっけが？	んだっけが？	【そうだっけ？】	そうだっけ？	山形県
んだべが？	んだべが？	【そうかな？】	そうかな？	山形県
おはようさん	おはようさん	【おはようございます】	おはようございます	大阪府
こんにちは	こんにちは	【こんにちは】	こんにちは	大阪府
こんにちわ	こんにちわ	【こんにちは】	こんにちは	大阪府
こんばんは	こんばんは	【こんばんは】	こんばんは	大阪府
こんばんわ	こんばんわ	【こんばんは】	こんばんは	大阪府
ほな、さいなら	ほな、さいなら	【さようなら】	さようなら	大阪府
ほんじゃ、また	ほんじゃ、また	【またね】	またね	大阪府
まいど	まいど	【いらっしゃいませ】	いらっしゃいませ	大阪府
おおきに	おおきに	【ありがとうございます】	ありがとうございます	大阪府
あったらしか	あったらしか	【もったいない】	もったいない	鹿児島県
あばてんね	あばてんね	【たくさん】	たくさん	鹿児島県
いっぺこっぺ	いっぺこっぺ	【たくさん】	たくさん	鹿児島県
いて	いて	【お湯が熱い】	おゆがあつい	鹿児島県
うがみんしょーらん	うがみんしょーらん	【こんにちは】	こんにちは	鹿児島県
おい	おい	【僕】	ぼく	鹿児島県
おかべ	おかべ	【豆腐】	とうふ	鹿児島県
おさいじゃす	おさいじゃす	【いらっしゃる】	いらっしゃる	鹿児島県
おまんさー	おまんさー	【あなた】	あなた	鹿児島県
おやっとさー	おやっとさー	【お疲れさま】	おつかれさま	鹿児島県
かずん	かずん	【嗅ぐ】	かぐ	鹿児島県
〜かた	〜かた	【〜すること】	〜すること	鹿児島県
〜かた	〜かた	【〜しているところ】	〜しているところ	鹿児島県
からいも	からいも	【さつまいも】	さつまいも	鹿児島県
きばっ	きばっ	【頑張る】	がんばる	鹿児島県
きょらさ	きょらさ	【きれいだ】	きれいだ	鹿児島県
きんとすわっ	きんとすわっ	【正座する】	せいざする	鹿児島県
け〜	け〜	【動詞の意味を強める接頭語】	どうしのいみをつよめるせっとうご	鹿児島県
〜けりゃー	〜けりゃー	【〜だったんだ】	〜だったんだ	鹿児島県
さだっ	さだっ	【にわか雨】	にわかあめ	鹿児島県
〜し	〜し	【人々】	ひとびと	鹿児島県
すんくじら	すんくじら	【隅っこ】	すみっこ	鹿児島県
〜せー	〜せー	【〜して】	〜して	鹿児島県
たもっ	たもっ	【食べる】	たべる	鹿児島県
ちぇすと	ちぇすと	【それ】	それ	鹿児島県
ちゃじょおけ	ちゃじょおけ	【お茶請け】	おちゃうけ	鹿児島県
ちんがらっ	ちんがらっ	【めちゃくちゃ】	めちゃくちゃ	鹿児島県
てぃだ	てぃだ	【太陽】	たいよう	鹿児島県
てげてげ	てげてげ	【中くらい】	ちゅうくらい	鹿児島県
てせ	てせ	【疲れる】	つかれる	鹿児島県
とぜんね	とぜんね	【さみしい】	さみしい	鹿児島県
なおす	なおす	【片づける】	かたづける	鹿児島県
なおっ	なおっ	【移る】	うつる	鹿児島県
にせ	にせ	【青年】	せいねん	鹿児島県
はえ	はえ	【南風】	みなみかぜ	鹿児島県
はげぃー	はげぃー	【あらまあ】	あらまあ	鹿児島県
〜ひこ	〜ひこ	【〜だけ】	〜だけ	鹿児島県
ひっちゃゆっ	ひっちゃゆっ	【落ちる】	おちる	鹿児島県
へっ	へっ	【肩から背中にかけての部分】	かたからせなかにかけてのぶぶん	鹿児島県
むぞか	むぞか	【かわいい】	かわいい	鹿児島県
もす	もす	【〜ます】	〜ます	鹿児島県
やぜろしか	やぜろしか	【うるさい】	うるさい	鹿児島県
やっせん	やっせん	【役に立たない】	やくにたたない	鹿児島県
やまいもほっ	やまいもほっ	【酔ってくだをまくこと】	よってくだをまくこと	鹿児島県
やんかぶっ	やんかぶっ	【髪の毛がぼさぼさだ】	かみのけがぼさぼさだ	鹿児島県
わっぜ	わっぜ	【大変】	たいへん	鹿児島県
わらべぃんきゃ	わらべぃんきゃ	【子どもたち】	こどもたち	鹿児島県
がっつい	がっつい	【ちょうど】	ちょうど	鹿児島県
〜がなっ	〜がなっ	【〜ことができる】	〜ことができる	鹿児島県
がらるっ	がらるっ	【られる】	られる	鹿児島県
ぎった	ぎった	【ゴム】	ごむ	鹿児島県
ぐらしか	ぐらしか	【かわいそうだ】	かわいそうだ	鹿児島県
げんね	げんね	【恥ずかしい】	はずかしい	鹿児島県
ごあす	ごあす	【ございます】	ございます	鹿児島県
〜ごたっ	〜ごたっ	【〜のようだ】	〜のようだ	鹿児島県
〜ごたっ	〜ごたっ	【〜したい】	〜したい	鹿児島県
〜ごろ	〜ごろ	【人を卑める接尾語】	ひとをいやしめるせつびご	鹿児島県
じゃっど	じゃっど	【そうですね】	そうですね	鹿児島県
〜じょ	〜じょ	【〜さん】	〜さん	鹿児島県
ずんだれ	ずんだれ	【だらしのない人】	だらしのないひと	鹿児島県
ずんばい	ずんばい	【たくさん】	たくさん	鹿児島県
だいやめ	だいやめ	【晩酌】	ばんしゃく	鹿児島県
〜だりょーん	〜だりょーん	【〜です】	〜です	鹿児島県
〜ど	〜ど	【〜よ】	〜よ	鹿児島県
〜どん	〜どん	【〜さん】	〜さん	鹿児島県
ばって	ばって	【しかし】	しかし	鹿児島県
ばば	ばば	【通り】	とおり	鹿児島県
びんた	びんた	【頭】	あたま	鹿児島県
ぶえん	ぶえん	【鮮魚】	せんぎょ	鹿児島県
ぼっけもん	ぼっけもん	【大胆な人】	だいたんなひと	鹿児島県
めっちゃ	めっちゃ	【とても】	とても	大阪府
おおきに	おおきに	【ありがとう】	ありがとう	大阪府
なんでやねん	なんでやねん	【何言ってるんだ】	なにいってるんだ	大阪府
まいど	まいど	【こんにちは】	こんにちは	大阪府
なんぼ	なんぼ	【いくら】	いくら	大阪府
なんぼ	なんぼ	【どれくらい】	どれくらい	大阪府
せや	せや	【はい】	はい	大阪府
ちゃう	ちゃう	【違う】	ちがう	大阪府
あかん	あかん	【ダメ】	だめ	大阪府
あかん	あかん	【いけない】	いけない	大阪府
あかん	あかん	【良くない】	よくない	大阪府
しもた	しもた	【しまった】	しまった	大阪府
ええ	ええ	【良い】	よい	大阪府
ほんま	ほんま	【本当】	ほんとう	大阪府
おもろい	おもろい	【面白い】	おもしろい	大阪府
まける	まける	【安くする】	やすくする	大阪府
むずい	むずい	【難しい】	むずかしい	大阪府
はよ	はよ	【早く】	はやく	大阪府
おとん	おとん	【お父さん】	おとうさん	大阪府
おかん	おかん	【お母さん】	おかあさん	大阪府
かまへん	かまへん	【構いません】	かまいません	大阪府
さいなら	さいなら	【さようなら】	さようなら	大阪府
しばく	しばく	【叩く】	たたく	大阪府
しょうもない	しょうもない	【くだらない】	くだらない	大阪府
しょうもない	しょうもない	【馬鹿馬鹿しい】	ばかばかしい	大阪府
知らんけど	しらんけど	【知らないけど】	しらないけど	大阪府
そら	そら	【それは】	それは	大阪府
どない	どない	【どうですか】	どうですか	大阪府
どない	どない	【どのようですか】	どのようですか	大阪府
べっぴん	べっぴん	【美人】	びじん	大阪府
いちゃもん	いちゃもん	【言いがかり】	いいがかり	大阪府
いちゃもん	いちゃもん	【難癖】	なんくせ	大阪府
ぼちぼち	ぼちぼち	【少しずつ】	すこしずつ	大阪府
ぼちぼち	ぼちぼち	【まあまあ】	まあまあ	大阪府
すっからかん	すっからかん	【空っぽ】	からっぽ	大阪府
すっからかん	すっからかん	【お金が全くない】	おかねがまったくない	大阪府
しんきくさい	辛気臭い	【じれったい】	じれったい	大阪府
しんきくさい	辛気臭い	【苛立たしい】	いらだたしい	大阪府
しんきくさい	辛気臭い	【陰気な】	いんきな	大阪府
がめつい	がめつい	【欲深い】	よくぶかい	大阪府
ぎょうさん	ぎょうさん	【たくさん】	たくさん	大阪府
かんにん	かんにん	【ごめんなさい】	ごめんなさい	大阪府
ごっつい	ごっつい	【とても】	とても	大阪府
かます	かます	【する】	する	大阪府
かます	かます	【言う】	いう	大阪府
きばる	きばる	【頑張る】	がんばる	大阪府
ええかっこしい	ええかっこしい	【格好つけている人】	かっこうつけているひと	大阪府
パチもん	ぱちもん	【偽物】	にせもの	大阪府
しょうみ	正味	【本当のところ】	ほんとうのところ	大阪府
いけず	いけず	【意地の悪い人】	いじのわるいひと	大阪府
ちゃっちゃと	ちゃっちゃと	【さっさと】	さっさと	大阪府
けったい	けったい	【不思議】	ふしぎ	大阪府
けったい	けったい	【おかしい】	おかしい	大阪府
